Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,11,Poniros,,100,1,4,11,2,,,4 11-2,Jonjo O'Neill Jr.,W P Mullins,
2,1,2,nk,7,Lulamba (FR),,11,4,4,11,2,2Fav,,4 11-2,N de Boinville,N J Henderson,
3,1,3,¾,3,East India Dock,,5,4,4,11,2,Fav,,4 11-2,Sam Twiston-Davies,James Owen,
4,1,4,1¾,14,Lady Vega Allen (FR),,14,1,4,10,9,,,4 10-9,P Townend,W P Mullins,
5,1,5,1¼,17,Place De La Nation (FR),,100,1,4,10,9,,,4 10-9,Danny Gilligan,W P Mullins,
6,1,6,1½,5,Hello Neighbour,,7,2,4,11,2,,h  ,4 11-2  h,K M Donoghue,G P Cromwell,
7,1,7,9,12,Too Bossy For Us,,50,1,4,11,2,,,4 11-2,H Cobden,W P Mullins,
8,1,8,½,18,Sainte Lucie (FR),,50,1,4,10,9,,h1  ,4 10-9  h1,D E Mullins,W P Mullins,
9,1,9,15,9,Mondo Man,,33,1,4,11,2,,h1  ,4 11-2  h1,B S Hughes,G & J Moore,
10,1,10,7,15,Lumiere Du Large (FR),,200,1,4,10,9,,t1  ,4 10-9  t1,K C Sexton,W P Mullins,
11,1,11,1¼,13,Willy De Houelle (FR),,40,1,4,11,2,,t   h  ,4 11-2  t   h,B Hayes,W P Mullins,
12,1,12,14,2,Charlus,,66,1,4,11,2,,,4 11-2,S F O'Keeffe,W P Mullins,
13,1,13,3¾,6,Larzac (FR),,33,1,4,11,2,,t1  ,4 11-2  t1,M P Walsh,W P Mullins,
14,1,PU,,1,Blue Lemons,,12,1,4,11,2,,,4 11-2,Rachael Blackmore,W P Mullins,
15,1,PU,,4,Gibbs Island,,28,1,4,11,2,,,4 11-2,Stan Sheppard,T Lacey,
16,1,PU,,10,Pappano,,150,1,4,11,2,,,4 11-2,S W Flanagan,W P Mullins,
17,1,PU,,16,Opec,,150,1,4,10,9,,,4 10-9,S Bowen,James Owen,
18,2,1,,7,Kargese (FR),,3,1,5,11,3,Fav,h  ,5 11-3  h,P Townend,W P Mullins,
19,2,2,1½,8,Ndaawi,,25,1,5,11,2,,,5 11-2,J W Kennedy,G Elliott,
20,2,3,1½,2,Absurde (FR),,5,1,7,11,8,2Fav,,7 11-8,D E Mullins,W P Mullins,
21,2,4,¾,4,Ethical Diamond,,16,1,5,11,5,,h  ,5 11-5  h,Mr P W Mullins,W P Mullins,
22,2,5,nse,15,Spirit D'aunou (FR),,25,1,6,9,12,,p  ,6 9-12  p,Freddie Mitchell,G & J Moore,5
23,2,6,½,11,Our Champ,,14,1,7,10,8,,t  ,7 10-8  t,Freddie Gordon,C Gordon,3
24,2,7,¾,9,Cracking Rhapsody,,20,1,6,10,13,,,6 10-13  (ex5),Craig Nichol,Ewan Whillans,
25,2,8,shd,5,Pinot Gris,,14,1,5,11,5,,t   b  ,5 11-5  t   b,K M Donoghue,G P Cromwell,
26,2,9,1¼,1,Daddy Long Legs (FR),,14,1,6,12,0,,,6 12-0,S F O'Keeffe,W P Mullins,
27,2,10,½,14,Irish Panther,,12,1,8,9,11,,t   h  ,8 9-11  t   h,Cian Cullinan,E & P Harty,7
28,2,11,¾,16,Norman Fletcher,,40,1,6,10,3,,,6 10-3,Sam Twiston-Davies,N A Twiston-Davies,
